ResourceID,Geo,Period,Label1,Label2,Label3,Value,Unit,Measure,Multiplier
CPCOV9,,2021-02-21,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-22,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-22,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-22,First dose administered,,,448,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-22,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-22,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-23,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-23,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-23,First dose administered,,,358,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-23,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-23,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-24,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-24,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-24,First dose administered,,,815,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-24,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-24,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-25,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-25,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-25,First dose administered,,,1100,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-25,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-25,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-26,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-26,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-26,First dose administered,,,1609,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-26,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-26,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-27,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-27,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-27,First dose administered,,,1341,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-27,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-27,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-28,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-28,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-28,First dose administered,,,886,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-28,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-02-28,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-01,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-01,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-01,First dose administered,,,1408,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-01,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-01,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-02,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-02,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-02,First dose administered,,,1483,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-02,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-02,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-03,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-03,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-03,First dose administered,,,1982,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-03,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-03,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-04,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-04,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-04,First dose administered,,,1632,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-04,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-04,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-05,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-05,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-05,First dose administered,,,1279,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-05,Second dose administered,,,1,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-05,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-06,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-06,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-06,First dose administered,,,602,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-06,Second dose administered,,,2,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-06,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-07,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-07,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-07,First dose administered,,,512,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-07,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-07,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-08,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-08,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-08,First dose administered,,,1073,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-08,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-08,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-09,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-09,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-09,First dose administered,,,1424,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-09,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-09,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-10,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-10,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-10,First dose administered,,,1315,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-10,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-10,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-11,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-11,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-11,First dose administered,,,1334,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-11,Second dose administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-11,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-12,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-12,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-12,First dose administered,,,1043,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-12,Second dose administered,,,6,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-12,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-13,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-13,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-13,First dose administered,,,751,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-13,Second dose administered,,,6,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-13,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-14,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-14,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-14,First dose administered,,,577,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-14,Second dose administered,,,14,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-14,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-15,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-15,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-15,First dose administered,,,1614,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-15,Second dose administered,,,267,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-15,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-16,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-16,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-16,First dose administered,,,1928,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-16,Second dose administered,,,233,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-16,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-17,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-17,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-17,First dose administered,,,1644,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-17,Second dose administered,,,365,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-17,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-18,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-18,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-18,First dose administered,,,1594,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-18,Second dose administered,,,474,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-18,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-19,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-19,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-19,First dose administered,,,1693,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-19,Second dose administered,,,772,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-19,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-20,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-20,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-20,First dose administered,,,554,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-20,Second dose administered,,,716,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-20,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-21,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-21,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-21,First dose administered,,,943,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-21,Second dose administered,,,646,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-21,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-22,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-22,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-22,First dose administered,,,1035,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-22,Second dose administered,,,1219,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-22,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-23,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-23,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-23,First dose administered,,,1589,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-23,Second dose administered,,,1107,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-23,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-24,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-24,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-24,First dose administered,,,1970,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-24,Second dose administered,,,1588,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-24,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-25,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-25,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-25,First dose administered,,,1822,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-25,Second dose administered,,,1533,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-25,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-26,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-26,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-26,First dose administered,,,3377,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-26,Second dose administered,,,1291,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-26,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-27,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-27,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-27,First dose administered,,,1160,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-27,Second dose administered,,,873,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-27,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-28,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-28,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-28,First dose administered,,,685,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-28,Second dose administered,,,491,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-28,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-29,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-29,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-29,First dose administered,,,3808,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-29,Second dose administered,,,1129,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-29,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-30,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-30,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-30,First dose administered,,,4166,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-30,Second dose administered,,,1503,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-30,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-31,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-31,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-31,First dose administered,,,5454,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-31,Second dose administered,,,1347,Number,Number of daily vaccines administered,0
CPCOV9,,2021-03-31,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-01,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-01,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-01,First dose administered,,,5202,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-01,Second dose administered,,,1253,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-01,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-02,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-02,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-02,First dose administered,,,1725,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-02,Second dose administered,,,295,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-02,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-03,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-03,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-03,First dose administered,,,1413,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-03,Second dose administered,,,335,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-03,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-04,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-04,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-04,First dose administered,,,761,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-04,Second dose administered,,,196,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-04,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-05,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-05,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-05,First dose administered,,,922,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-05,Second dose administered,,,291,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-05,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-06,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-06,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-06,First dose administered,,,3519,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-06,Second dose administered,,,1443,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-06,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-07,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-07,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-07,First dose administered,,,5123,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-07,Second dose administered,,,2149,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-07,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-08,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-08,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-08,First dose administered,,,6467,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-08,Second dose administered,,,1767,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-08,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-09,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-09,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-09,First dose administered,,,5424,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-09,Second dose administered,,,1934,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-09,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-10,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-10,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-10,First dose administered,,,3268,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-10,Second dose administered,,,692,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-10,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-11,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-11,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-11,First dose administered,,,2480,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-11,Second dose administered,,,1081,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-11,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-12,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-12,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-12,First dose administered,,,6045,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-12,Second dose administered,,,1725,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-12,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-13,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-13,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-13,First dose administered,,,6811,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-13,Second dose administered,,,1627,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-13,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-14,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-14,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-14,First dose administered,,,6633,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-14,Second dose administered,,,1524,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-14,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-15,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-15,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-15,First dose administered,,,6892,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-15,Second dose administered,,,1842,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-15,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-16,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-16,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-16,First dose administered,,,6869,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-16,Second dose administered,,,2636,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-16,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-17,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-17,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-17,First dose administered,,,3892,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-17,Second dose administered,,,1159,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-17,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-18,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-18,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-18,First dose administered,,,1480,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-18,Second dose administered,,,592,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-18,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-19,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-19,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-19,First dose administered,,,5095,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-19,Second dose administered,,,2037,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-19,Third primary administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-20,Booster 1 administered,,,0,Number,Number of daily vaccines administered,0
CPCOV9,,2021-04-20,Booster 2 administered,,,0,Number,Number of daily vaccines administered,0
